Time [s],Ship0_X [m],Ship0_Y [m],Ship0_Speed_Smoothed [m/s],Ship0_Heading_Smoothed [deg],Ship0_YawRate_Smoothed [deg/s],Ship0_Rudder_Smoothed [deg],Ship0_Thrust_Smoothed [N],Ship0_Thrust_Raw [N],Ship1_X [m],Ship1_Y [m],Ship1_Speed_Smoothed [m/s],Ship1_Heading_Smoothed [deg],Ship1_YawRate_Smoothed [deg/s],Ship1_Rudder_Smoothed [deg],Ship1_Thrust_Smoothed [N],Ship1_Thrust_Raw [N],Ship2_X [m],Ship2_Y [m],Ship2_Speed_Smoothed [m/s],Ship2_Heading_Smoothed [deg],Ship2_YawRate_Smoothed [deg/s],Ship2_Rudder_Smoothed [deg],Ship2_Thrust_Smoothed [N],Ship2_Thrust_Raw [N],Ship3_X [m],Ship3_Y [m],Ship3_Speed_Smoothed [m/s],Ship3_Heading_Smoothed [deg],Ship3_YawRate_Smoothed [deg/s],Ship3_Rudder_Smoothed [deg],Ship3_Thrust_Smoothed [N],Ship3_Thrust_Raw [N]
0.0,234.60218265559115,1154.3626615711792,5.899857457009438,-2.1814825319195044,-0.0005748889734899467,0.9846444933168164,178252.5346958129,0.0,1489.623584798614,243.0855622324456,5.903848437311315,92.17431443781634,-0.0006750792283255046,0.8938832408207429,286412.53927098645,0.0,2756.643608523921,1151.6464884913362,5.772891079772617,177.1976040955085,-0.0009688278649771366,1.863355453882062,484399.51041891926,0.0,429.3499318512113,2615.7980007372403,5.5069555747884955,-42.862332512677064,-0.0005150914918504583,0.9445743680232204,384455.4232882931,0.0
0.5,237.4553360853463,1154.25077496661,5.839357669684092,-2.186871119928329,-0.002381943959141055,0.5846918558074794,1439203.2308483375,4248512.241034299,1489.5172657537719,245.97324858149796,5.851388022678078,92.16822002297896,-0.0027118293396271157,0.5240801985020813,1636682.167485776,10296450.861430861,2753.880000352422,1151.7850591821766,5.715024329388153,177.19133691013994,-0.0031258036492449485,1.2957997121063647,1735033.1195733082,5325759.501412673,431.310997169474,2613.974326119885,5.47755181876933,-42.867400248808664,-0.0022021113910258793,0.6599391879558932,1959291.9171059586,14576831.484596534
1.0,240.09836191321335,1154.1399135283386,5.778829314334921,-2.19269025987062,-0.004251196024738263,0.18650250696199966,2693016.146580167,7521029.633687722,1489.4243751525955,248.7009405527829,5.798913760807421,92.16164921387477,-0.004813540533654249,0.1561519661302734,2979793.610032933,12944641.671112077,2751.30987692197,1151.9207354212665,5.657187565548881,177.18452797843253,-0.005370621200071108,0.7321180262055721,2981106.288476104,8296014.466242822,433.1904099816754,2612.217588001725,5.448153494433729,-42.8728606040773,-0.003942251420688099,0.37656768506953975,3523802.75525145,16381482.121748006
1.5,242.57631262164256,1154.0268824586803,5.7183461723551146,-2.198983791494892,-0.0061803949543510674,-0.20901576167986904,3931090.6348511786,10782126.728238545,1489.346254988252,251.28379115291503,5.746489674866872,92.15455495262017,-0.006977427287205414,-0.208998632601408,4305632.413409573,12161590.003170682,2748.906954389153,1152.0562245359679,5.599453009326081,177.17711697434103,-0.0077024538648184995,0.1736481807933613,4214339.541548123,8693876.70873574,435.00220757560027,2610.512158836747,5.4187965408677945,-42.87875205471214,-0.005733123956411193,0.09515799504921853,5065456.083209793,18011565.701121204
2.0,244.92029914066535,1153.9107034441556,5.657980603536496,-2.2057985152001875,-0.008166291329996463,-0.6010017097019764,5145388.111121977,12221952.143902598,1489.2820337815326,253.74264177381278,5.694178726774491,92.14688707514959,-0.009199563426781035,-0.5705150971968875,5605100.43655175,14763284.593104161,2746.649802421501,1152.192195347507,5.54189138577586,177.16903976854027,-0.010119187519965612,-0.37832270486440295,5426969.8780761305,10205479.82517086,436.75799759949854,2608.8482970911464,5.38951604040928,-42.88511565454779,-0.007571411002829818,-0.18363713790854597,6573162.891757741,18822488.073296495
2.5,247.15613002459585,1153.7916611749715,5.597802950860808,-2.2131829807182957,-0.010204421374547934,-0.9886593468589376,6328620.307781708,14257821.58683873,1489.2295982424741,256.106769663847,5.642042298447989,92.13859366222096,-0.011474621391106048,-0.9276063221071124,6870173.148352768,16901732.456044808,2744.505770780225,1152.3293441985036,5.484571308680447,177.16023001014415,-0.012617088518130351,-0.922576549329616,6611818.769474106,13248620.417124473,438.4743136533754,2607.214213524097,5.360345913600365,-42.89199392732454,-0.009452666528399533,-0.4592249002706377,8037370.477153669,20969908.141883884
3.0,249.29793460382135,1153.6742650996198,5.537881087041349,-2.221186348317912,-0.012289103223776833,-1.3712711441773484,7474347.108189882,13498051.081755124,1489.1832293266034,258.38944472319616,5.590139778706019,92.12962230032004,-0.013795842759384584,-1.279560614092599,8093917.142430128,16270880.392548995,2742.4520291168083,1152.4680190562094,5.427558789821036,177.15062061718066,-0.015190655174538673,-1.4579826751698457,7762347.021379535,14062041.856625479,440.1586329359011,2605.6083982663977,5.331318694572176,-42.89942983481018,-0.011371321395229903,-0.7310795490486892,9450035.508562068,19666350.056081258
3.5,251.37088196010401,1153.5632859349032,5.478280067908575,-2.229857338411776,-0.014413642527132302,-1.7481981973873537,8576990.845071906,16077141.04224327,1489.1381445262227,260.6066145450616,5.538528250635549,92.11992123424017,-0.01615524222494475,-1.625749101211298,9270499.561562818,17774896.621146236,2740.47556110498,1152.6080519366553,5.370916868908291,177.14014515586342,-0.0178326488275793,-1.983515867372325,8872729.334740372,14894500.639855597,441.81222027689466,2604.0294694301656,5.3024653665947925,-42.90746583584767,-0.01332086489164347,-0.9987426234689781,10804547.306531638,20314877.179318413
4.0,253.40072108878624,1153.4580128821312,5.4190618834339075,-2.239243282970656,-0.016570676405566042,-2.1188677661669066,9631824.473888185,17455342.337475393,1489.09287231049,262.7813698683134,5.487262262716267,92.1094403961143,-0.018543978306804272,-1.9656202104082552,10395156.19438334,19692521.1057254,2738.5525042080285,1152.7478010856532,5.314705343360225,177.12873909104275,-0.020534286824211306,-2.498270964863433,9937899.633715255,17370594.71867629,443.443539692952,2602.4726830582968,5.273815231853329,-42.91614304891379,-0.015294131003233844,-1.2618201492405878,12095591.362631954,20599109.752304584
4.5,255.39599907768405,1153.3541083836824,5.360285310332049,-2.2493892891562735,-0.018752523846161728,-2.4827624940924706,10634992.309186142,17824553.291024003,1489.0464097242723,264.9177400858111,5.436393678817738,92.09813229934099,-0.02095278031958226,-2.2986919832936086,11464161.300249843,18170004.861525398,2736.66788571193,1152.884817155614,5.258980585378131,177.11634089328444,-0.02328557669486616,-3.0014678144039144,10953575.543484528,17145064.30390151,445.05685575630065,2600.933246712889,5.245395807758667,-42.925500527719265,-0.017283622454453994,-1.5199790010639906,13319004.539621437,21072493.377253182
