Time [s],Ship0_X [m],Ship0_Y [m],Ship0_Speed_Smoothed [m/s],Ship0_Heading_Smoothed [deg],Ship0_YawRate_Smoothed [deg/s],Ship0_Rudder_Smoothed [deg],Ship0_Thrust_Smoothed [N],Ship0_Thrust_Raw [N],Ship1_X [m],Ship1_Y [m],Ship1_Speed_Smoothed [m/s],Ship1_Heading_Smoothed [deg],Ship1_YawRate_Smoothed [deg/s],Ship1_Rudder_Smoothed [deg],Ship1_Thrust_Smoothed [N],Ship1_Thrust_Raw [N],Ship2_X [m],Ship2_Y [m],Ship2_Speed_Smoothed [m/s],Ship2_Heading_Smoothed [deg],Ship2_YawRate_Smoothed [deg/s],Ship2_Rudder_Smoothed [deg],Ship2_Thrust_Smoothed [N],Ship2_Thrust_Raw [N],Ship3_X [m],Ship3_Y [m],Ship3_Speed_Smoothed [m/s],Ship3_Heading_Smoothed [deg],Ship3_YawRate_Smoothed [deg/s],Ship3_Rudder_Smoothed [deg],Ship3_Thrust_Smoothed [N],Ship3_Thrust_Raw [N]
5.0,283.2060129699965,1129.9154408684888,5.292895049333421,-1.7328987348560447,-0.015938579249938935,-2.4006421790631554,11327355.438947046,18032814.963274144,1497.9134018645434,256.8332264142894,5.360226570682294,92.36268289806478,-0.02457702579147808,-3.6391861934407057,12258296.653585898,17959458.638198704,2733.8882168662244,1153.7054014057278,5.191556307516202,178.89743716252002,-0.025045160383875463,-4.911301902297323,11845542.961944887,17722348.326386824,422.9862813235418,2618.7754147479322,5.190170130672685,-46.89830299542984,-0.022601121753908802,-3.0260524271190943,14321350.820557851,22778164.288419362
5.5,285.1832978293744,1129.839222920708,5.236149251990599,-1.74190395055181,-0.01754273048587249,-2.635730837227564,12205947.012854539,16948888.49669135,1497.8601017559158,258.8603155491998,5.308384908031943,92.34892305147379,-0.02719819369362628,-4.021241972046214,13207596.41057762,18970936.581444036,2732.0559792257495,1153.7757498509643,5.136444495754335,178.88342464906492,-0.0278274889167253,-5.379879213321825,12756744.601079434,18800640.522683967,424.4777703038691,2617.1396425398907,5.162026499160182,-46.910968010442296,-0.025103704778794176,-3.3218365131270735,15400877.92078879,22658534.019044515
6.0,287.13130818438054,1129.7639197375422,5.179965073236493,-1.7515124020983541,-0.019132634136216433,-2.866925396031263,13028133.268974038,17366521.865058836,1497.8075707298078,260.8616077296726,5.257119458969768,92.3341188311165,-0.029826432086958794,-4.394982830428431,14096556.406874875,18644730.074937068,2730.229987939743,1153.84637615023,5.08198343155883,178.86826436967402,-0.030639393099984712,-5.838167005677353,13611634.12834589,19980768.320324037,425.9671920412435,2615.5068259646814,5.134215440557915,-46.92465376727044,-0.027630446886561567,-3.610775358155477,16406998.942692276,22777338.34625853
6.5,289.0547995528792,1129.6896018290413,5.1243876896640295,-1.7617424345473645,-0.020704170685052595,-3.094043195853333,13793533.62898999,17424357.633680187,1497.7546473931309,262.84249396672874,5.206472872412126,92.3182316516507,-0.032453774596586264,-4.760070107843144,14924726.320645744,19173786.213332813,2728.401384950118,1153.9148003039681,5.028216103316763,178.8519106069828,-0.03347133886202964,-6.285747209860584,14409104.481017388,20095586.793838173,427.4521910526076,2613.878461921819,5.106759059721893,-46.93940298099119,-0.030174228888264612,-3.8925938089748056,17339670.496194072,22206744.939537793
7.0,290.9573088599787,1129.6167033600268,5.069459188680717,-1.772609433777183,-0.022253895081480644,-3.3169280972369797,14502289.326108592,17443484.352135245,1497.701642434384,264.8115236406857,5.1564847849992335,92.30122796047645,-0.035073044428869986,-5.116215609645097,15692239.068457589,19967313.69427697,2726.5746760554266,1153.98117511168,4.975182112493871,178.83432338488964,-0.03631416594179969,-6.72227109834398,15148764.238216138,19002101.81516203,428.9338244280547,2612.253354959476,5.079677749158825,-46.95525374049816,-0.03272832601060024,-4.1670573624187055,18199601.42316033,22738722.883016605
7.5,292.846698258589,1129.5444714860184,5.015218591788334,-1.784125823829711,-0.023779039911653203,-3.535447220111027,15154986.510700082,18487593.503289513,1497.6491721627624,266.775945244374,5.107191862327958,92.28307933952401,-0.037677935762760704,-5.4631769810902915,16399761.509588236,20629243.835098132,2724.751686045135,1154.0488586428387,4.922917796010919,178.8154686675981,-0.0391592557358917,-7.14744897687365,15830863.674500927,19842210.385370117,430.41367009067227,2610.6295793850713,5.0529902311254915,-46.97223932255821,-0.035286477286600414,-4.4339702376148455,18988133.183649834,22750918.70094838
8.0,294.73451968683196,1129.472270545941,4.961701904926566,-1.7963011340673614,-0.02527749938594682,-3.7494876495892324,15752616.610666545,19637477.070587046,1497.5963400567387,268.73252533198036,5.05862786885746,92.2637624923727,-0.040263051935089306,-5.800753726614269,17048461.487296335,19346791.999431744,2722.92845755277,1154.1174055014483,4.8714563441369,178.79531842697065,-0.04199863014763999,-7.561049223018428,16456194.366564604,19931468.890180785,431.89408608078884,2609.0045770460983,5.026713605611666,-46.99038810970852,-0.03784293134729275,-4.693173318251794,19707148.26762484,23302303.274785932
8.5,296.6153776883965,1129.4002742460264,4.908942200970015,-1.8091421263040395,-0.026747791708107035,-3.9589544228345073,16296567.196557319,17879089.717114076,1497.5428105999283,270.6786899459269,5.010823749845931,92.24325913098568,-0.04282391436349781,-6.128781394218242,17639941.641184125,19357564.451259486,2721.1080695715727,1154.1857071648228,4.820827915876771,178.77385058940283,-0.04482500451952047,-7.96289805961458,17026009.080571696,19092904.41963663,433.3745269655144,2607.378767628294,5.000863408599306,-47.0097236014328,-0.04039247527635337,-4.944541837044426,20359000.31740435,22834706.873821706
9.0,298.49390955352015,1129.327313348561,4.856969721475505,-1.8226529717085158,-0.028189004425268283,-4.1637699463311995,16788595.50073019,19880593.92309054,1497.4902313919818,272.6153258599519,4.963807706769746,92.22155577725667,-0.045356944355030716,-6.4471255153485565,18176130.486174945,19521129.934151176,2719.288697175041,1154.2540877737104,4.771059754266376,178.751048874954,-0.047631830763660225,-8.35287390037961,17541948.213225827,19908829.033488885,434.85156644998415,2605.75541575515,4.97545367434167,-47.030264507101215,-0.04293044923858291,-5.187983137867043,20946438.702233765,22340520.805614606
9.5,300.36702646575725,1129.2528046415728,4.805811981320275,-1.8368354672651368,-0.029600729275951726,-4.3638758547914405,17230773.644003,18237640.37934368,1497.4369793938681,274.5528051136871,4.917605270132988,92.1986434948782,-0.04785940993239177,-6.755678280292923,18659192.604158532,20844013.09501267,2717.4688807089465,1154.3220664618543,4.722176300076879,178.72690254251043,-0.0504133347099949,-8.730900431312394,18005962.848791394,19409790.16355802,436.3247612819084,2604.1349872103365,4.950496989896541,-47.05202490863357,-0.04545274927214306,-5.42343484845612,21472511.411617037,22484047.480187684
