Time [s],Ship0_X [m],Ship0_Y [m],Ship0_Speed_Smoothed [m/s],Ship0_Heading_Smoothed [deg],Ship0_YawRate_Smoothed [deg/s],Ship0_Rudder_Smoothed [deg],Ship0_Thrust_Smoothed [N],Ship0_Thrust_Raw [N],Ship1_X [m],Ship1_Y [m],Ship1_Speed_Smoothed [m/s],Ship1_Heading_Smoothed [deg],Ship1_YawRate_Smoothed [deg/s],Ship1_Rudder_Smoothed [deg],Ship1_Thrust_Smoothed [N],Ship1_Thrust_Raw [N],Ship2_X [m],Ship2_Y [m],Ship2_Speed_Smoothed [m/s],Ship2_Heading_Smoothed [deg],Ship2_YawRate_Smoothed [deg/s],Ship2_Rudder_Smoothed [deg],Ship2_Thrust_Smoothed [N],Ship2_Thrust_Raw [N],Ship3_X [m],Ship3_Y [m],Ship3_Speed_Smoothed [m/s],Ship3_Heading_Smoothed [deg],Ship3_YawRate_Smoothed [deg/s],Ship3_Rudder_Smoothed [deg],Ship3_Thrust_Smoothed [N],Ship3_Thrust_Raw [N]
5.0,269.79664963586646,1133.6313823238645,5.299119353507761,-1.746053964444453,-0.020193860213167374,-2.6391873770724477,11378571.20072269,17149546.04831428,1517.3719188158013,293.42144041547715,5.3970508816765435,92.26999331596781,-0.009336183751933375,-1.4135189316093597,15318743.410712855,23325513.154790066,2732.439057369159,1138.4629098564017,5.2279102684519145,-179.23345993997324,-0.021317122195628188,-3.0303071360445357,12462566.866527509,18475396.08148634,423.06709744998653,2602.0893952515535,5.1761373189369415,-42.48883847575625,-0.016421057378910878,-2.8934259850475215,14141816.730293782,22536976.41789877
5.5,271.7024506073843,1133.5440611110853,5.240828547980535,-1.7569545932077246,-0.022291072071547853,-2.9931347719838746,12244989.927247016,18047052.70814606,1517.2952062170725,295.69634809821525,5.355071574379869,92.26510179587679,-0.010391225581699925,-1.5438498222916532,16473952.100693524,23473528.03230429,2730.394133252712,1138.4637483573213,5.181748208959296,-179.24486123925794,-0.0235981616687657,-3.3326810837453458,13415560.064687425,19070126.144021913,424.6930298409575,2600.5725961592398,5.147897886044182,-42.49763104960888,-0.01825614162311753,-3.096631829257624,15199365.418990614,20765386.13864743
6.0,273.58803297998486,1133.460044022777,5.183177865216592,-1.768865218109796,-0.024385047001173672,-3.338844995496911,13058542.302627945,17825475.882061854,1517.2194853974456,297.94138198208475,5.313480268287457,92.2596812157044,-0.011460899537649316,-1.6713704356267745,17549695.405563127,23602965.456156213,2728.3752956569206,1138.462390265938,5.136064789795586,-179.25735737874928,-0.025886543746921738,-3.627333207351339,14306366.991667897,18161005.112647694,426.30667564056426,2599.065832279729,5.119956595798371,-42.50729226976465,-0.020111301079713862,-3.2964942419428995,16185941.019929796,21557130.104597878
6.5,275.45687692974576,1133.3794004417912,5.12621423119474,-1.7817977999826338,-0.02646887630403981,-3.676071385567017,13818407.996619577,17941131.42830278,1517.144653176155,300.1602925017611,5.27231351498704,92.25371689991317,-0.012541586794755366,-1.7959442971185178,18546235.7327258,23716156.360751186,2726.368744561057,1138.4592616220805,5.090897138143784,-179.27096860056517,-0.0281757037765373,-3.9139631879165373,15134588.53324806,20596553.44324393,427.9206737605347,2597.5599236337753,5.092335164303444,-42.51784673384268,-0.021982718303968488,-3.492788146374231,17101380.61428123,23231562.79673331
7.0,277.30835782720743,1133.3017072612988,5.0699811917494735,-1.7957568800784576,-0.028536431378694195,-4.004612617901072,14524345.963155728,17243326.915150665,1517.0706338199477,302.35635989939,5.231605868101003,92.24719788551178,-0.013629761609484418,-1.9174524616418671,19464569.90375875,23815139.56009503,2724.3634746177026,1138.4559528163168,5.046279760420406,-179.28570801534912,-0.030459667213552366,-4.19230763655921,15900418.51532086,20894588.018804915,429.5305467232736,2596.055945840714,5.065053640575815,-42.529314357112845,-0.023866839766140503,-3.6853125921430316,17946209.075073555,21713731.542537905
7.5,279.14305000168065,1133.2250334280277,5.014518963809236,-1.8107405665523437,-0.03058249479169398,-4.3243034778164295,15176590.332034279,17684490.43234989,1516.9973694568346,304.53245299386265,5.19138986237429,92.24011670779775,-0.01472205327902279,-2.035792576720884,20306322.599144667,23901698.19439082,2722.369299903273,1138.454023800507,5.002244598962921,-179.3015823766442,-0.03273310289493169,-4.462137950906831,16604626.84666178,19149374.608082127,431.1313776263201,2594.558714585084,5.038130446796184,-42.54171075602616,-0.0257604123154088,-3.8738902963002038,18721567.3571608,21488255.6323657
8.0,280.976109711141,1133.1490308473053,4.9598644949957045,-1.8267416241023864,-0.03260280413764251,-4.635011196732932,15775763.617424117,19657212.926030066,1516.9248145926422,306.6910806911173,5.151696006587029,92.23246912825661,-0.01581529307308907,-2.1508779688074355,21073647.47412913,23977391.703262977,2720.384031816061,1138.4538828351228,4.958821103572799,-179.31859288462118,-0.03499131646923123,-4.723263916396651,17248505.97074885,20669914.059255548,432.7294662810369,2593.0676990384304,5.011582413535698,-42.55504768865413,-0.02766051322133801,-4.058366234005768,19429093.013339326,21694988.84889489
8.5,282.81195286300857,1133.0722394601971,4.90605154949426,-1.8437485687860198,-0.034594029864215954,-4.936633816393842,16322854.80833414,19331415.102254674,1516.852932869643,308.8344370917584,5.112552788342516,92.22425382464219,-0.016906547974284675,-2.2626367533341836,21769135.972729743,24043583.842711266,2718.404303087338,1138.4528228620577,4.9160362974708995,-179.33673597037708,-0.037230227826706624,-4.975534886325104,17833772.892041933,19721394.718761522,434.3295094417337,2591.5763914833688,4.985424810391678,-42.56933354714091,-0.0295645839802218,-4.238600895336928,20070797.903027866,22825409.994894266
9.0,284.6470381541095,1132.9969016718853,4.853110826707001,-1.8617467062405386,-0.036553716962969246,-5.2290965691204025,16819228.242256884,18502417.55375042,1516.7816950580957,310.96444097005235,5.073986689020926,92.2154720600053,-0.017993143087198255,-2.3710109691972425,22395733.77537383,24101467.215974696,2716.432770187983,1138.4500450761009,4.873914843197786,-179.35600406166688,-0.03944636466399413,-5.218832225482153,18362479.048423007,19443333.91050028,435.9275679502292,2590.08219654133,4.959671391170677,-42.584573879353776,-0.0314704339745586,-4.414467043709137,20649006.197315913,22601368.91990042
9.5,286.48558312250196,1132.92154043487,4.801070093676883,-1.8807190826865687,-0.0384802087518455,-5.512345293933097,17266590.590955116,19829072.71414104,1516.7110777339426,313.082770314902,5.036022207399297,92.20612734436186,-0.019072674484902796,-2.4759557382125372,22956664.738511093,24152084.741248462,2714.466541907284,1138.4478976052033,4.832479111090777,-179.37638633668226,-0.04163685445152312,-5.4530597619395955,18836926.876314647,20230105.739062984,437.5244944175679,2588.5852117182667,4.934334455272335,-42.60077187375677,-0.03337618649112655,-4.585855498602145,21166328.8774109,23018874.81700078
